Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-28 15:43:11,2018-09-28 15:43:26,14.880s,PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.100,,2018-09-28 15:43:12,2018-09-28 15:43:18,6.779s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 15:43:12,2018-09-28 15:43:18,6.385s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 69.0.3497.100,,2018-09-28 15:43:18,2018-09-28 15:43:26,7.468s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 15:43:19,2018-09-28 15:43:23,4.704s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 15:43:23,2018-09-28 15:43:24,0.161s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 15:43:24,2018-09-28 15:43:24,0.247s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 15:43:24,2018-09-28 15:43:24,0.476s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 15:43:24,2018-09-28 15:43:24,0.096s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 15:43:24,2018-09-28 15:43:25,0.698s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 15:43:25,2018-09-28 15:43:26,0.580s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 15:43:26,2018-09-28 15:43:26,0.188s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 15:43:26,2018-09-28 15:43:26,0.132s,PASSED
