Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,,2018-08-31 14:43:41,2018-08-31 14:44:41,"1m - 0,133s",PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 67.0.3396.99,,2018-08-31 14:43:42,2018-08-31 14:44:24,"41,758s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-31 14:43:43,2018-08-31 14:44:24,"41,303s",PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 67.0.3396.99,,2018-08-31 14:44:24,2018-08-31 14:44:40,"15,899s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-31 14:44:24,2018-08-31 14:44:24,"0,004s",NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-08-31 14:44:24,2018-08-31 14:44:26,"1,107s",PASSED
click,Chrome 67.0.3396.99,,2018-08-31 14:44:26,2018-08-31 14:44:26,"0,729s",PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-08-31 14:44:26,2018-08-31 14:44:26,"0,118s",PASSED
click,Chrome 67.0.3396.99,,2018-08-31 14:44:26,2018-08-31 14:44:27,"0,332s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-31 14:44:27,2018-08-31 14:44:29,"2,150s",PASSED
click,Chrome 67.0.3396.99,,2018-08-31 14:44:29,2018-08-31 14:44:30,"0,889s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-31 14:44:30,2018-08-31 14:44:40,"9,918s",PASSED
click,Chrome 67.0.3396.99,,2018-08-31 14:44:40,2018-08-31 14:44:40,"0,296s",PASSED
