Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-28 16:57:45,2018-09-28 16:58:04,19.139s,PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.100,,2018-09-28 16:57:46,2018-09-28 16:57:55,9.668s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 16:57:46,2018-09-28 16:57:55,9.296s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 69.0.3497.100,,2018-09-28 16:57:55,2018-09-28 16:58:04,8.822s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 16:57:56,2018-09-28 16:58:03,6.952s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 16:58:03,2018-09-28 16:58:03,0.139s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:58:03,2018-09-28 16:58:03,0.176s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 16:58:03,2018-09-28 16:58:03,0.273s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:58:03,2018-09-28 16:58:03,0.147s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 16:58:03,2018-09-28 16:58:04,0.410s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:58:04,2018-09-28 16:58:04,0.221s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 16:58:04,2018-09-28 16:58:04,0.200s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:58:04,2018-09-28 16:58:04,0.141s,PASSED
