Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-28 16:53:42,2018-09-28 16:54:14,32.828s,PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.100,,2018-09-28 16:53:42,2018-09-28 16:54:07,24.852s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 16:53:43,2018-09-28 16:54:07,24.485s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 69.0.3497.100,,2018-09-28 16:54:07,2018-09-28 16:54:14,7.255s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 16:54:07,2018-09-28 16:54:13,5.415s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 16:54:13,2018-09-28 16:54:13,0.095s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:54:13,2018-09-28 16:54:13,0.144s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 16:54:13,2018-09-28 16:54:13,0.056s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:54:13,2018-09-28 16:54:13,0.092s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 16:54:13,2018-09-28 16:54:14,0.883s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:54:14,2018-09-28 16:54:14,0.120s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 16:54:14,2018-09-28 16:54:14,0.131s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:54:14,2018-09-28 16:54:14,0.182s,PASSED
