Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-28 17:00:59,2018-09-28 17:01:49,50.188s,PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.100,,2018-09-28 17:01:00,2018-09-28 17:01:36,36.320s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 17:01:00,2018-09-28 17:01:36,35.866s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 69.0.3497.100,,2018-09-28 17:01:36,2018-09-28 17:01:49,13.140s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 17:01:36,2018-09-28 17:01:48,12.060s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 17:01:48,2018-09-28 17:01:48,0.113s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:01:48,2018-09-28 17:01:48,0.113s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 17:01:48,2018-09-28 17:01:48,0.049s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:01:48,2018-09-28 17:01:48,0.088s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 17:01:48,2018-09-28 17:01:49,0.266s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:01:49,2018-09-28 17:01:49,0.084s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 17:01:49,2018-09-28 17:01:49,0.113s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:01:49,2018-09-28 17:01:49,0.110s,PASSED
