Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-28 16:31:35,2018-09-28 16:31:50,15.321s,PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.100,,2018-09-28 16:31:36,2018-09-28 16:31:44,8.107s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 16:31:36,2018-09-28 16:31:44,7.655s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 69.0.3497.100,,2018-09-28 16:31:44,2018-09-28 16:31:50,6.516s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 16:31:44,2018-09-28 16:31:48,4.367s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 16:31:48,2018-09-28 16:31:49,0.254s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:31:49,2018-09-28 16:31:49,0.586s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 16:31:49,2018-09-28 16:31:49,0.139s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:31:49,2018-09-28 16:31:50,0.255s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 16:31:50,2018-09-28 16:31:50,0.301s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:31:50,2018-09-28 16:31:50,0.109s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 16:31:50,2018-09-28 16:31:50,0.137s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 16:31:50,2018-09-28 16:31:50,0.109s,PASSED
