Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 68.0.3440.106,,2018-09-10 15:50:04,2018-09-10 15:50:44,39.025s,FAILED
,,,,,,
Test Cases/OpenBrowser,Chrome 68.0.3440.106,,2018-09-10 15:50:05,2018-09-10 15:50:13,8.363s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 15:50:05,2018-09-10 15:50:13,8.043s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 68.0.3440.106,,2018-09-10 15:50:13,2018-09-10 15:50:15,1.687s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 15:50:13,2018-09-10 15:50:13,0.002s,NOT_RUN
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-10 15:50:13,2018-09-10 15:50:14,0.271s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:14,2018-09-10 15:50:14,0.148s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-10 15:50:14,2018-09-10 15:50:14,0.295s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:14,2018-09-10 15:50:14,0.098s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 15:50:14,2018-09-10 15:50:14,0.278s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:14,2018-09-10 15:50:15,0.149s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 15:50:15,2018-09-10 15:50:15,0.146s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:15,2018-09-10 15:50:15,0.102s,PASSED
,,,,,,
Test Cases/Payment/AddBooktoCart,Chrome 68.0.3440.106,,2018-09-10 15:50:15,2018-09-10 15:50:28,13.143s,FAILED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:15,2018-09-10 15:50:19,4.332s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:19,2018-09-10 15:50:20,0.184s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:20,2018-09-10 15:50:25,5.299s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:25,2018-09-10 15:50:28,3.100s,FAILED
,,,,,,
Test Cases/Payment/CheckoutPayment,Chrome 68.0.3440.106,,2018-09-10 15:50:28,2018-09-10 15:50:43,15.442s,FAILED
click,Chrome 68.0.3440.106,,2018-09-10 15:50:28,2018-09-10 15:50:43,15.367s,FAILED
