Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 67.0.3396.99,,2018-08-31 14:30:37,2018-08-31 14:31:51,"1m - 14,105s",PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 67.0.3396.99,,2018-08-31 14:30:39,2018-08-31 14:31:37,"57,771s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-31 14:30:40,2018-08-31 14:31:37,"57,119s",PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 67.0.3396.99,,2018-08-31 14:31:37,2018-08-31 14:31:47,"10,434s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-31 14:31:37,2018-08-31 14:31:37,"0,003s",NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-08-31 14:31:37,2018-08-31 14:31:44,"6,393s",PASSED
click,Chrome 67.0.3396.99,,2018-08-31 14:31:44,2018-08-31 14:31:45,"0,937s",PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-08-31 14:31:45,2018-08-31 14:31:45,"0,444s",PASSED
click,Chrome 67.0.3396.99,,2018-08-31 14:31:45,2018-08-31 14:31:45,"0,194s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-31 14:31:45,2018-08-31 14:31:47,"1,353s",PASSED
click,Chrome 67.0.3396.99,,2018-08-31 14:31:47,2018-08-31 14:31:47,"0,218s",PASSED
setText,Chrome 67.0.3396.99,,2018-08-31 14:31:47,2018-08-31 14:31:47,"0,193s",PASSED
click,Chrome 67.0.3396.99,,2018-08-31 14:31:47,2018-08-31 14:31:47,"0,282s",PASSED
