Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 68.0.3440.106,,2018-09-10 16:17:15,2018-09-10 16:18:01,45.697s,FAILED
,,,,,,
Test Cases/OpenBrowser,Chrome 68.0.3440.106,,2018-09-10 16:17:16,2018-09-10 16:17:26,10.262s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 16:17:16,2018-09-10 16:17:26,10.003s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 68.0.3440.106,,2018-09-10 16:17:26,2018-09-10 16:17:27,1.254s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 16:17:26,2018-09-10 16:17:26,0.002s,NOT_RUN
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-10 16:17:26,2018-09-10 16:17:26,0.110s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 16:17:26,2018-09-10 16:17:27,0.166s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-10 16:17:27,2018-09-10 16:17:27,0.045s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 16:17:27,2018-09-10 16:17:27,0.106s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 16:17:27,2018-09-10 16:17:27,0.281s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 16:17:27,2018-09-10 16:17:27,0.085s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 16:17:27,2018-09-10 16:17:27,0.137s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 16:17:27,2018-09-10 16:17:27,0.104s,PASSED
,,,,,,
Test Cases/Payment/AddBooktoCart,Chrome 68.0.3440.106,,2018-09-10 16:17:27,2018-09-10 16:17:29,1.538s,FAILED
click,Chrome 68.0.3440.106,,2018-09-10 16:17:27,2018-09-10 16:17:29,1.405s,FAILED
,,,,,,
Test Cases/Payment/CheckoutPayment,Chrome 68.0.3440.106,,2018-09-10 16:17:29,2018-09-10 16:18:01,32.098s,FAILED
click,Chrome 68.0.3440.106,,2018-09-10 16:17:29,2018-09-10 16:18:01,31.955s,FAILED
