Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 68.0.3440.106,,2018-09-10 16:09:38,2018-09-10 16:10:43,1m - 4.777s,FAILED
,,,,,,
Test Cases/OpenBrowser,Chrome 68.0.3440.106,,2018-09-10 16:09:39,2018-09-10 16:10:07,27.879s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 16:09:39,2018-09-10 16:10:07,27.582s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 68.0.3440.106,,2018-09-10 16:10:07,2018-09-10 16:10:08,1.237s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 16:10:07,2018-09-10 16:10:07,0.006s,NOT_RUN
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-10 16:10:07,2018-09-10 16:10:07,0.124s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 16:10:07,2018-09-10 16:10:07,0.156s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-10 16:10:07,2018-09-10 16:10:07,0.054s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 16:10:07,2018-09-10 16:10:07,0.096s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 16:10:07,2018-09-10 16:10:07,0.255s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 16:10:07,2018-09-10 16:10:08,0.096s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 16:10:08,2018-09-10 16:10:08,0.137s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 16:10:08,2018-09-10 16:10:08,0.083s,PASSED
,,,,,,
Test Cases/Payment/AddBooktoCart,Chrome 68.0.3440.106,,2018-09-10 16:10:08,2018-09-10 16:10:11,3.110s,FAILED
click,Chrome 68.0.3440.106,,2018-09-10 16:10:08,2018-09-10 16:10:11,2.991s,FAILED
,,,,,,
Test Cases/Payment/CheckoutPayment,Chrome 68.0.3440.106,,2018-09-10 16:10:11,2018-09-10 16:10:43,32.003s,FAILED
click,Chrome 68.0.3440.106,,2018-09-10 16:10:11,2018-09-10 16:10:43,31.908s,FAILED
